lighthouse_target_id,source_document_id,crawl_run_id,university_id,sample_course_id,journey_id,page_role,source_kind,default_strategy,default_device_category,scope_status,selection_rule,js_dependency_level_preaudit,tested_url,final_url,notes
LH_COURSE_C030,SD0064,CR010,UNI15,C030,J030,course_page,course_seed,mobile,mobile,canonical_default,latest_nonpilot_course_page,low,https://www.uniurb.it/corsi/1757220,https://www.uniurb.it/corsi/1757220,tranche6; fetched with browser user-agent and HTTP/1.1 after empty reply on default curl; parent relinked to normalized programmes hub SD0073 in CR011
LH_COURSE_C031,SD0067,CR010,UNI16,C031,J031,course_page,course_seed,mobile,mobile,canonical_default,latest_nonpilot_course_page,low,https://www.uninettunouniversity.net/it/indirizzo-comunicazione-digitale-d-impresa.aspx?degree=334&faculty=7&idindirizzo=179&mode=cs,https://www.uninettunouniversity.net/it/indirizzo-comunicazione-digitale-d-impresa.aspx?degree=334&faculty=7&idindirizzo=179&mode=cs,tranche6; official curriculum page
LH_COURSE_C032,SD0068,CR010,UNI16,C032,J032,course_page,course_seed,mobile,mobile,canonical_default,latest_nonpilot_course_page,low,https://www.uninettunouniversity.net/it/culture-linguaggi-e-strategie-per-la-comunicazione-nell-era-digitale.aspx,https://www.uninettunouniversity.net/it/culture-linguaggi-e-strategie-per-la-comunicazione-nell-era-digitale.aspx,tranche6; official course page
LH_COURSE_C033,SD0071,CR010,UNI17,C033,J033,course_page,course_seed,mobile,mobile,canonical_default,latest_nonpilot_course_page,medium,https://corsi.unical.it/lt-lmcu/comunicazione-e-dams/cds/corso/?lang=it,https://corsi.unical.it/lt-lmcu/comunicazione-e-dams/cds/corso/?lang=it,tranche6; official course page
LH_COURSE_C034,SD0072,CR010,UNI17,C034,J034,course_page,course_seed,mobile,mobile,canonical_default,latest_nonpilot_course_page,medium,https://corsi.unical.it/lm/linguaggi-della-comunicazione-e-dello-spettacolo/,https://corsi.unical.it/lm/linguaggi-della-comunicazione-e-dello-spettacolo/,tranche6; official course page
LH_COURSE_C035,SD0076,CR012,UNI18,C035,J035,course_page,course_seed,mobile,mobile,canonical_default,latest_nonpilot_course_page,high,https://www.corsi.unina.it/D27/home,https://www.corsi.unina.it/D27/home,tranche7; JS-heavy course portal shell page collected before hub normalization; parent relinked to normalized programmes hub SD0087 in CR013
LH_COURSE_C036,SD0077,CR012,UNI18,C036,J036,course_page,course_seed,mobile,mobile,canonical_default,latest_nonpilot_course_page,high,https://www.corsi.unina.it/DA2/home,https://www.corsi.unina.it/DA2/home,tranche7; JS-heavy course portal shell page collected before hub normalization; parent relinked to normalized programmes hub SD0087 in CR013
LH_COURSE_C037,SD0080,CR012,UNI19,C037,J037,course_page,course_seed,mobile,mobile,canonical_default,latest_nonpilot_course_page,low,https://www.unibg.it/studiare/corsi/offertaformativa/scienze-comunicazione,https://www.unibg.it/studiare/corsi/offertaformativa/scienze-comunicazione,tranche7; official course page
LH_COURSE_C038,SD0081,CR012,UNI19,C038,J038,course_page,course_seed,mobile,mobile,canonical_default,latest_nonpilot_course_page,low,https://ls-vpcm.unibg.it/it,https://ls-vpcm.unibg.it/it,tranche7; official interclass course site
LH_COURSE_C039,SD0084,CR012,UNI20,C039,J039,course_page,course_seed,mobile,mobile,canonical_default,latest_nonpilot_course_page,low,https://corsi.unitn.it/it/beni-culturali,https://corsi.unitn.it/it/beni-culturali,tranche7; official course page
LH_COURSE_C040,SD0085,CR012,UNI20,C040,J040,course_page,course_seed,mobile,mobile,canonical_default,latest_nonpilot_course_page,medium,https://corsi.unitn.it/it/organizzazione-societa-e-tecnologia,https://corsi.unitn.it/it/organizzazione-societa-e-tecnologia,tranche7; official course page
LH_COURSE_C041,SD0086,CR012,UNI20,C041,J041,course_page,course_seed,mobile,mobile,canonical_default,latest_nonpilot_course_page,low,https://corsi.unitn.it/it/giurisprudenza,https://corsi.unitn.it/it/giurisprudenza,tranche7; official course page
