crawl_run_id,serp_observation_id,course_id,university_id,source_document_id,query_template_id,query_type,query_string,search_engine,search_interface,hl,gl,browser_mode,login_status,device_profile,viewport_width,observed_at,max_organic_depth,max_organic_depth_observed,target_found,target_found_top10,target_found_top20,target_rank_organic,target_rank_absolute,target_result_title,target_result_url,target_match_type,canonical_course_url,serp_features_observed,ads_observed,evidence_capture_path,notes
CR037,SOBS0031,C009,UNI05,[to_be_filled],SQ01,known_institution,"""Scienze della comunicazione"" ""Università degli Studi di Siena""",Google,google.it,it,IT,incognito,logged_out,desktop,1440,2026-05-06T13:14:00+02:00,10,10,true,true,,1,1,SCIENZE DELLA COMUNICAZIONE | - Unisi,https://scienze-comunicazione.unisi.it/it,canonical_exact,https://scienze-comunicazione.unisi.it/it,ai_overview,true,artifacts/runs/SERP_B002/serp/SERP_B002_r007_top10.png,
CR037,SOBS0032,C009,UNI05,[to_be_filled],SQ02,user_like_institutional,Scienze della comunicazione UniSi,Google,google.it,it,IT,incognito,logged_out,desktop,1440,2026-05-06T13:17:00+02:00,10,10,true,true,,1,1,SCIENZE DELLA COMUNICAZIONE | - Unisi,https://scienze-comunicazione.unisi.it/it,canonical_exact,https://scienze-comunicazione.unisi.it/it,,false,artifacts/runs/SERP_B002/serp/SERP_B002_r008_top10.png,
CR037,SOBS0033,C009,UNI05,[to_be_filled],SQ03,information_seeking,Scienze della comunicazione triennale Siena,Google,google.it,it,IT,incognito,logged_out,desktop,1440,2026-05-06T13:19:00+02:00,10,10,true,true,,1,1,SCIENZE DELLA COMUNICAZIONE | - Unisi,https://scienze-comunicazione.unisi.it/it,canonical_exact,https://scienze-comunicazione.unisi.it/it,ai_overview,false,artifacts/runs/SERP_B002/serp/SERP_B002_r009_top10.png,
CR037,SOBS0034,C010,UNI05,[to_be_filled],SQ01,known_institution,"""Strategie e tecniche della comunicazione"" ""Università degli Studi di Siena""",Google,google.it,it,IT,incognito,logged_out,desktop,1440,2026-05-06T13:20:00+02:00,10,10,true,true,,1,1,STRATEGIE E TECNICHE DELLA COMUNICAZIONE | - Unisi,https://comunicazione-tecniche-strategie.unisi.it/it,official_equivalent,https://www.unisi.it/ugov/degree/82714,ai_overview,false,artifacts/runs/SERP_B002/serp/SERP_B002_r010_top10.png,Il secondo risultato sarebbe potuto essere canonical_exact ma riferisce alla pagina del corso del 2020/2021
CR037,SOBS0035,C010,UNI05,[to_be_filled],SQ02,user_like_institutional,Strategie e tecniche della comunicazione UniSi,Google,google.it,it,IT,incognito,logged_out,desktop,1440,2026-05-06T13:26:00+02:00,10,10,true,true,,1,1,STRATEGIE E TECNICHE DELLA COMUNICAZIONE | - Unisi,https://comunicazione-tecniche-strategie.unisi.it/it,official_equivalent,https://www.unisi.it/ugov/degree/82714,,false,artifacts/runs/SERP_B002/serp/SERP_B002_r011_top10.png,Il secondo risultato sarebbe potuto essere canonical_exact ma riferisce alla pagina del corso del 2020/2021
CR037,SOBS0036,C010,UNI05,[to_be_filled],SQ03,information_seeking,Strategie e tecniche della comunicazione magistrale Siena,Google,google.it,it,IT,incognito,logged_out,desktop,1440,2026-05-06T13:28:00+02:00,10,10,true,true,,1,1,STRATEGIE E TECNICHE DELLA COMUNICAZIONE | - Unisi,https://comunicazione-tecniche-strategie.unisi.it/it,official_equivalent,https://www.unisi.it/ugov/degree/82714,ai_overview,false,artifacts/runs/SERP_B002/serp/SERP_B002_r012_top10.png,Il secondo risultato sarebbe potuto essere canonical_exact ma riferisce alla pagina del corso del 2020/2021
CR037,SOBS0037,C011,UNI06,[to_be_filled],SQ01,known_institution,"""Scienze della comunicazione"" ""Università degli Studi di Torino""",Google,google.it,it,IT,incognito,logged_out,desktop,1440,2026-05-06T13:38:00+02:00,10,10,true,true,,1,1,Homepage - Corso di laurea in Scienze della Comunicazione ...,https://comunicazione.campusnet.unito.it/,official_equivalent,https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/scienze-della-comunicazione,people_also_ask,true,artifacts/runs/SERP_B002/serp/SERP_B002_r013_top10.png,
CR037,SOBS0038,C011,UNI06,[to_be_filled],SQ02,user_like_institutional,Scienze della comunicazione UniTo,Google,google.it,it,IT,incognito,logged_out,desktop,1440,2026-05-06T13:44:00+02:00,10,10,true,true,,2,2,[2705L31] SCIENZE DELLA COMUNICAZIONE - Torino,https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/scienze-della-comunicazione,canonical_exact,https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/scienze-della-comunicazione,,false,artifacts/runs/SERP_B002/serp/SERP_B002_r014_top10.png,
CR037,SOBS0039,C011,UNI06,[to_be_filled],SQ03,information_seeking,Scienze della comunicazione triennale Torino,Google,google.it,it,IT,incognito,logged_out,desktop,1440,2026-05-06T13:46:00+02:00,10,10,true,true,,2,2,[2705L31] SCIENZE DELLA COMUNICAZIONE - Torino,https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/scienze-della-comunicazione,canonical_exact,https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/scienze-della-comunicazione,,true,artifacts/runs/SERP_B002/serp/SERP_B002_r015_top10.png,
CR038,SOBS0040,C013,UNI07,[to_be_filled],SQ01,known_institution,"""Media, comunicazione e società"" ""Università degli Studi di Genova""",Google,google.it,it,IT,incognito,logged_out,desktop,1440,2026-05-06T14:07:00+02:00,10,10,true,true,,1,1,"Media, comunicazione e società",https://corsi.unige.it/corsi/11938,canonical_exact,https://corsi.unige.it/corsi/11938,,false,artifacts/runs/SERP_B003/serp/SERP_B003_r001_top10.png,I primi tre risultati sono il target e altre pagine relative al target (test d'ingresso e insegnamenti)
