crawl_run_id,target_id,source_document_id,page_role,requested_url,returned_pageurl,http_status,wave_success,tool_name,tool_mode,tool_version,reporttype,audit_date,viewport_policy,viewportwidth,useragent_profile,evaldelay_ms,pagetitle,aimscore,allitemcount,totalelements,error_count,contrast_count,alert_count,feature_count,structure_count,aria_count,raw_json_path,notes
WVRUN_001,WV_COURSE_C018,SD0037,course_page,https://www.unimi.it/it/corsi/laurea-magistrale/editoria-culture-della-comunicazione-e-della-moda,https://www.unimi.it/it/corsi/laurea-magistrale/editoria-culture-della-comunicazione-e-della-moda,200,True,WAVE WebAIM,api,,4,2026-04-24T09:49:41Z,desktop_1200,1200,wave_default,500,"Editoria, culture della comunicazione e della moda | Università degli Studi di Milano Statale",8.7,493,3571,1,2,51,8,380,51,wave/data/raw/WVRUN_001/WV_COURSE_C018.json,
WVRUN_001,WV_COURSE_C019,SD0040,course_page,https://www.uninsubria.it/formazione/offerta-formativa/corsi-di-laurea/scienze-della-comunicazione,https://www.uninsubria.it/formazione/offerta-formativa/corsi-di-laurea/scienze-della-comunicazione,200,True,WAVE WebAIM,api,,4,2026-04-24T09:49:51Z,desktop_1200,1200,wave_default,500,[SU02] SCIENZE DELLA COMUNICAZIONE | Università degli studi dell'Insubria,7,387,1885,7,3,150,17,84,126,wave/data/raw/WVRUN_001/WV_COURSE_C019.json,
WVRUN_001,WV_COURSE_C020,SD0041,course_page,https://www.uninsubria.it/formazione/offerta-formativa/corsi-di-laurea/scienze-e-tecniche-della-comunicazione,https://www.uninsubria.it/formazione/offerta-formativa/corsi-di-laurea/scienze-e-tecniche-della-comunicazione,200,True,WAVE WebAIM,api,,4,2026-04-24T09:50:01Z,desktop_1200,1200,wave_default,500,[SU03] SCIENZE E TECNICHE DELLA COMUNICAZIONE | Università degli studi dell'Insubria,7,384,1839,7,3,151,17,83,123,wave/data/raw/WVRUN_001/WV_COURSE_C020.json,
WVRUN_001,WV_COURSE_C021,SD0044,course_page,https://corsi.unisa.it/scienze-della-comunicazione,https://corsi.unisa.it/scienze-della-comunicazione,200,True,WAVE WebAIM,api,,4,2026-04-24T09:50:12Z,desktop_1200,1200,wave_default,500,Scienze della Comunicazione | Home,7,247,937,3,8,39,27,48,122,wave/data/raw/WVRUN_001/WV_COURSE_C021.json,
WVRUN_001,WV_COURSE_C022,SD0045,course_page,https://corsi.unisa.it/corporate-communication-e-media,https://corsi.unisa.it/corporate-communication-e-media,200,True,WAVE WebAIM,api,,4,2026-04-24T09:50:30Z,desktop_1200,1200,wave_default,500,Corporate Communication e Media | Home,7,234,887,3,8,35,23,46,119,wave/data/raw/WVRUN_001/WV_COURSE_C022.json,
WVRUN_001,WV_COURSE_C023,SD0049,course_page,https://www.uniroma3.it/corsi/dipartimento-di-filosofia-comunicazione-e-spettacolo/l/2025-2026/scienze-della-comunicazione-0580706202000001/,https://www.uniroma3.it/corsi/dipartimento-di-filosofia-comunicazione-e-spettacolo/l/2025-2026/scienze-della-comunicazione-0580706202000001/,200,True,WAVE WebAIM,api,,4,2026-04-24T09:50:42Z,desktop_1200,1200,wave_default,500,Scienze della Comunicazione - Università Roma Tre,8.1,561,1127,5,1,16,16,67,456,wave/data/raw/WVRUN_001/WV_COURSE_C023.json,
WVRUN_001,WV_COURSE_C024,SD0050,course_page,https://www.uniroma3.it/corsi/dipartimento-di-filosofia-comunicazione-e-spettacolo/lm/2025-2026/scienze-cognitive-della-comunicazione-e-dellazione-0580707309300001/,https://www.uniroma3.it/corsi/dipartimento-di-filosofia-comunicazione-e-spettacolo/lm/2025-2026/scienze-cognitive-della-comunicazione-e-dellazione-0580707309300001/,200,True,WAVE WebAIM,api,,4,2026-04-24T09:50:52Z,desktop_1200,1200,wave_default,500,Scienze Cognitive della Comunicazione e dell'Azione - Università Roma Tre,8.1,561,1169,5,1,16,16,67,456,wave/data/raw/WVRUN_001/WV_COURSE_C024.json,
WVRUN_001,WV_COURSE_C025,SD0053,course_page,https://www.unipa.it/dipartimenti/cultureesocieta/cds/scienzedellacomunicazione2447,https://www.unipa.it/dipartimenti/cultureesocieta/cds/scienzedellacomunicazione2447,200,True,WAVE WebAIM,api,,4,2026-04-24T09:51:03Z,desktop_1200,1200,wave_default,500,2447 - SCIENZE DELLA COMUNICAZIONE | Università degli Studi di Palermo,7.6,274,899,8,0,141,36,66,23,wave/data/raw/WVRUN_001/WV_COURSE_C025.json,
WVRUN_001,WV_COURSE_C026,SD0054,course_page,https://www.unipa.it/dipartimenti/cultureesocieta/cds/comunicazionedelpatrimonioculturale2215,https://www.unipa.it/dipartimenti/cultureesocieta/cds/comunicazionedelpatrimonioculturale2215,200,True,WAVE WebAIM,api,,4,2026-04-24T09:51:13Z,desktop_1200,1200,wave_default,500,2215 - COMUNICAZIONE DEL PATRIMONIO CULTURALE | Università degli Studi di Palermo,6.2,279,959,16,0,134,35,71,23,wave/data/raw/WVRUN_001/WV_COURSE_C026.json,
WVRUN_001,WV_COURSE_C027,SD0057,course_page,https://www.unistrapg.it/offerta-formativa/corsi-di-laurea-e-laurea-magistrale/corso-di-laurea-comunicazione-internazionale-e-pubblicitaria-comip,https://www.unistrapg.it/offerta-formativa/corsi-di-laurea-e-laurea-magistrale/corso-di-laurea-comunicazione-internazionale-e-pubblicitaria-comip,200,True,WAVE WebAIM,api,,4,2026-04-24T09:51:23Z,desktop_1200,1200,wave_default,500,Corso di laurea in Comunicazione internazionale e pubblicitaria (ComIP),8.6,1325,2920,3,0,91,81,132,1018,wave/data/raw/WVRUN_001/WV_COURSE_C027.json,
WVRUN_001,WV_COURSE_C028,SD0058,course_page,https://www.unistrapg.it/offerta-formativa/corsi-di-laurea-e-laurea-magistrale/corso-di-laurea-magistrale-comunicazione-pubblicitaria-storytelling-e-cultura-dimmagine-compsi,https://www.unistrapg.it/offerta-formativa/corsi-di-laurea-e-laurea-magistrale/corso-di-laurea-magistrale-comunicazione-pubblicitaria-storytelling-e-cultura-dimmagine-compsi,200,True,WAVE WebAIM,api,,4,2026-04-24T09:51:37Z,desktop_1200,1200,wave_default,500,"Corso di laurea magistrale in Comunicazione pubblicitaria, storytelling e cultura d'immagine (ComPSI)",9,392,1758,4,0,20,25,96,247,wave/data/raw/WVRUN_001/WV_COURSE_C028.json,
WVRUN_001,WV_COURSE_C029,SD0063,course_page,https://www.uniurb.it/corsi/1757256,https://www.uniurb.it/corsi/1757256,200,True,WAVE WebAIM,api,,4,2026-04-24T09:51:48Z,desktop_1200,1200,wave_default,500,"INFORMAZIONE, MEDIA, PUBBLICITà - A.A. 2025/2026 - LAUREA",7.1,672,1811,7,2,138,58,134,333,wave/data/raw/WVRUN_001/WV_COURSE_C029.json,
WVRUN_001,WV_COURSE_C030,SD0064,course_page,https://www.uniurb.it/corsi/1757220,https://www.uniurb.it/corsi/1757220,200,True,WAVE WebAIM,api,,4,2026-04-24T09:52:00Z,desktop_1200,1200,wave_default,500,COMUNICAZIONE DIGITALE PER LA CULTURA - A.A. 2025/2026 - LAUREA MAGISTRALE,7.1,667,1801,7,2,137,58,133,330,wave/data/raw/WVRUN_001/WV_COURSE_C030.json,
WVRUN_001,WV_COURSE_C031,SD0067,course_page,https://www.uninettunouniversity.net/it/indirizzo-comunicazione-digitale-d-impresa.aspx?degree=334&faculty=7&idindirizzo=179&mode=cs,https://www.uninettunouniversity.net/it/indirizzo-comunicazione-digitale-d-impresa.aspx?degree=334&faculty=7&idindirizzo=179&mode=cs,200,True,WAVE WebAIM,api,,4,2026-04-24T09:52:12Z,desktop_1200,1200,wave_default,500,Indirizzo: Comunicazione digitale d'impresa,7.7,205,1214,4,1,108,17,46,29,wave/data/raw/WVRUN_001/WV_COURSE_C031.json,
WVRUN_001,WV_COURSE_C032,SD0068,course_page,https://www.uninettunouniversity.net/it/culture-linguaggi-e-strategie-per-la-comunicazione-nell-era-digitale.aspx,https://www.uninettunouniversity.net/it/culture-linguaggi-e-strategie-per-la-comunicazione-nell-era-digitale.aspx,200,True,WAVE WebAIM,api,,4,2026-04-24T09:52:21Z,desktop_1200,1200,wave_default,500,"Culture, linguaggi e strategie per la comunicazione nell'era digitale",9.4,141,561,1,0,49,22,33,36,wave/data/raw/WVRUN_001/WV_COURSE_C032.json,
WVRUN_001,WV_COURSE_C033,SD0071,course_page,https://corsi.unical.it/lt-lmcu/comunicazione-e-dams/cds/corso/?lang=it,https://corsi.unical.it/lt-lmcu/comunicazione-e-dams/cds/corso/?lang=it,200,True,WAVE WebAIM,api,,4,2026-04-24T09:52:31Z,desktop_1200,1200,wave_default,500,Il Corso - COMUNICAZIONE E DAMS - Corsi di Laurea,6.7,140,728,4,9,39,12,45,31,wave/data/raw/WVRUN_001/WV_COURSE_C033.json,
WVRUN_001,WV_COURSE_C034,SD0072,course_page,https://corsi.unical.it/lm/linguaggi-della-comunicazione-e-dello-spettacolo/,https://corsi.unical.it/lm/linguaggi-della-comunicazione-e-dello-spettacolo/,200,True,WAVE WebAIM,api,,4,2026-04-24T09:52:41Z,desktop_1200,1200,wave_default,500,LINGUAGGI DELLA COMUNICAZIONE E DELLO SPETTACOLO - Corsi di Laurea,5.5,631,1909,10,22,481,29,53,36,wave/data/raw/WVRUN_001/WV_COURSE_C034.json,
WVRUN_001,WV_COURSE_C037,SD0080,course_page,https://www.unibg.it/studiare/corsi/offertaformativa/scienze-comunicazione,https://www.unibg.it/studiare/corsi/offertaformativa/scienze-comunicazione,200,True,WAVE WebAIM,api,,4,2026-04-24T09:52:52Z,desktop_1200,1200,wave_default,500,[92-R] SCIENZE DELLA COMUNICAZIONE | Università degli studi di Bergamo,8.3,236,1542,0,7,8,13,164,44,wave/data/raw/WVRUN_001/WV_COURSE_C037.json,
WVRUN_001,WV_COURSE_C038,SD0081,course_page,https://ls-vpcm.unibg.it/it,https://ls-vpcm.unibg.it/it,200,True,WAVE WebAIM,api,,4,2026-04-24T09:53:00Z,desktop_1200,1200,wave_default,500,Valorizzazione del Patrimonio Culturale Materiale e Immateriale | UniBG,6.4,71,391,4,9,12,6,32,8,wave/data/raw/WVRUN_001/WV_COURSE_C038.json,
WVRUN_001,WV_COURSE_C039,SD0084,course_page,https://corsi.unitn.it/it/beni-culturali,https://corsi.unitn.it/it/beni-culturali,200,True,WAVE WebAIM,api,,4,2026-04-24T09:53:09Z,desktop_1200,1200,wave_default,500,Beni culturali | UniTrento,8.3,186,1065,4,2,7,12,29,132,wave/data/raw/WVRUN_001/WV_COURSE_C039.json,
WVRUN_001,WV_COURSE_C040,SD0085,course_page,https://corsi.unitn.it/it/organizzazione-societa-e-tecnologia,https://corsi.unitn.it/it/organizzazione-societa-e-tecnologia,200,True,WAVE WebAIM,api,,4,2026-04-24T09:53:21Z,desktop_1200,1200,wave_default,500,"Organizzazione, società e tecnologia | UniTrento",8.9,113,705,4,0,7,12,23,67,wave/data/raw/WVRUN_001/WV_COURSE_C040.json,
WVRUN_001,WV_COURSE_C041,SD0086,course_page,https://corsi.unitn.it/it/giurisprudenza,https://corsi.unitn.it/it/giurisprudenza,200,True,WAVE WebAIM,api,,4,2026-04-24T09:53:33Z,desktop_1200,1200,wave_default,500,Giurisprudenza | UniTrento,8.3,156,940,4,2,8,12,28,102,wave/data/raw/WVRUN_001/WV_COURSE_C041.json,
WVRUN_browser_001,WV_COURSE_C035,SD0076,course_page,https://www.corsi.unina.it/D27/home,https://www.corsi.unina.it/D27/home,200,True,WAVE WebAIM,browser_extension,3.3.0.4,,2026-04-25 12:38:00+00:00,manual_browser,1536,chrome_desktop,,Il corso,5.9,231,,19,2,81,4,23,102,,browser_extension manual collection; Angular SPA (high JS); totalelements not exposed in extension panel
WVRUN_browser_001,WV_COURSE_C036,SD0077,course_page,https://www.corsi.unina.it/DA2/home,https://www.corsi.unina.it/DA2/home,200,True,WAVE WebAIM,browser_extension,3.3.0.4,,2026-04-25 13:14:00+00:00,manual_browser,1536,chrome_desktop,,Il corso,6,210,,19,2,61,4,23,101,,browser_extension manual collection; Angular SPA (high JS); totalelements not exposed in extension panel
