serp_target_id,course_id,university_id,source_document_id,query_template_id,query_type,query_string,canonical_course_url,university_domain,collection_status,notes
ST108,C036,UNI18,[to_be_filled],SQ03,information_seeking,"Digital Society, Social Innovation and Global Citizenship magistrale Napoli",https://www.corsi.unina.it/DA2/home,unina.it,completed,course name in English; course name contains commas
ST109,C037,UNI19,[to_be_filled],SQ01,known_institution,"""Scienze della Comunicazione"" ""Università degli Studi di Bergamo""",https://www.unibg.it/studiare/corsi/offertaformativa/scienze-comunicazione,unibg.it,completed,
ST110,C037,UNI19,[to_be_filled],SQ02,user_like_institutional,Scienze della Comunicazione UniBg,https://www.unibg.it/studiare/corsi/offertaformativa/scienze-comunicazione,unibg.it,completed,
ST111,C037,UNI19,[to_be_filled],SQ03,information_seeking,Scienze della Comunicazione triennale Bergamo,https://www.unibg.it/studiare/corsi/offertaformativa/scienze-comunicazione,unibg.it,completed,
ST112,C038,UNI19,[to_be_filled],SQ01,known_institution,"""Valorizzazione del patrimonio culturale materiale e immateriale"" ""Università degli Studi di Bergamo""",https://ls-vpcm.unibg.it/it,unibg.it,completed,course page on dedicated subdomain ls-vpcm.unibg.it
ST113,C038,UNI19,[to_be_filled],SQ02,user_like_institutional,Valorizzazione del patrimonio culturale materiale e immateriale UniBg,https://ls-vpcm.unibg.it/it,unibg.it,completed,course page on dedicated subdomain
ST114,C038,UNI19,[to_be_filled],SQ03,information_seeking,Valorizzazione del patrimonio culturale materiale e immateriale magistrale Bergamo,https://ls-vpcm.unibg.it/it,unibg.it,completed,dedicated subdomain
ST115,C039,UNI20,[to_be_filled],SQ01,known_institution,"""Beni culturali"" ""Università degli Studi di Trento""",https://corsi.unitn.it/it/beni-culturali,unitn.it,completed,
ST116,C039,UNI20,[to_be_filled],SQ02,user_like_institutional,Beni culturali UniTrento,https://corsi.unitn.it/it/beni-culturali,unitn.it,completed,
ST117,C039,UNI20,[to_be_filled],SQ03,information_seeking,Beni culturali triennale Trento,https://corsi.unitn.it/it/beni-culturali,unitn.it,completed,
ST118,C040,UNI20,[to_be_filled],SQ01,known_institution,"""Organizzazione, società e tecnologia"" ""Università degli Studi di Trento""",https://corsi.unitn.it/it/organizzazione-societa-e-tecnologia,unitn.it,completed,
ST119,C040,UNI20,[to_be_filled],SQ02,user_like_institutional,"Organizzazione, società e tecnologia UniTrento",https://corsi.unitn.it/it/organizzazione-societa-e-tecnologia,unitn.it,completed,course name contains commas
ST120,C040,UNI20,[to_be_filled],SQ03,information_seeking,"Organizzazione, società e tecnologia magistrale Trento",https://corsi.unitn.it/it/organizzazione-societa-e-tecnologia,unitn.it,completed,course name contains commas
ST121,C041,UNI20,[to_be_filled],SQ01,known_institution,"""Giurisprudenza"" ""Università degli Studi di Trento""",https://corsi.unitn.it/it/giurisprudenza,unitn.it,completed,optional course in sample (ciclo_unico)
ST122,C041,UNI20,[to_be_filled],SQ02,user_like_institutional,Giurisprudenza UniTrento,https://corsi.unitn.it/it/giurisprudenza,unitn.it,completed,optional course in sample (ciclo_unico)
ST123,C041,UNI20,[to_be_filled],SQ03,information_seeking,Giurisprudenza ciclo_unico Trento,https://corsi.unitn.it/it/giurisprudenza,unitn.it,completed,optional course in sample (ciclo_unico)
