"course_id","university_id","source_document_id","indicator_id","indicator_label","priority","trigger_reason","auto_observed","auto_location_type","auto_local_findability","auto_confidence","auto_evidence_text","auto_evidence_url","auto_evidence_selector","auto_evidence_document_type","auto_notes","evidence_artifact_path","rendered_screenshot_path","target_url","reviewer_decision","reviewer_observed","reviewer_location_type","reviewer_local_findability","reviewer_confidence","reviewer_evidence_text","reviewer_evidence_url","reviewer_notes","reviewer_id","reviewed_at"
"C006","UNI03","SD0012","deadlines","Application / enrolment deadlines","essential","confidence=not_observed","not_observed","not_observed","not_found","not_observed","","","","","","artifacts/journeys/J006_C006_comunicazione-media-tecnologie/source/SD0012.html","","https://www.unipi.it/didattica/corsi/lauree-triennali-ciclo-unico/comunicazione-media-tecnologie-wcm-lm","confirmed","","","","","","","","gaia","2026-05-07T13:54:52+02:00"
"C007","UNI04","SD0015","course_title","Course title","essential","course_outlier(missing>=3)","present","heading_or_summary","direct","high","Scienze Umanistiche per la Comunicazione | Università di Firenze","https://www.unifi.it/it/node/6520","title|h1","html","","artifacts/journeys/J007_C007_scienze-umanistiche-per-la-comunicazione/source/SD0015.html","","https://www.unifi.it/it/node/6520","confirmed","","","","","","","","gaia","2026-05-07T13:30:25+02:00"
"C007","UNI04","SD0015","degree_level","Degree level","essential","course_outlier(missing>=3)","present","heading_or_summary","direct","high","Corsi di laurea triennali e a ciclo unico","https://www.unifi.it/it/node/6520",".ciclo-unico","html","","artifacts/journeys/J007_C007_scienze-umanistiche-per-la-comunicazione/source/SD0015.html","","https://www.unifi.it/it/node/6520","confirmed","","","","","","","","gaia","2026-05-07T13:30:25+02:00"
"C007","UNI04","SD0015","academic_year","Academic year or edition","essential","confidence=not_observed | course_outlier(missing>=3)","not_observed","not_observed","not_found","not_observed","","","","","","artifacts/journeys/J007_C007_scienze-umanistiche-per-la-comunicazione/source/SD0015.html","","https://www.unifi.it/it/node/6520","confirmed","","","","","","","","gaia","2026-05-07T13:54:52+02:00"
"C007","UNI04","SD0015","language","Teaching language","essential","confidence=not_observed | course_outlier(missing>=3)","not_observed","not_observed","not_found","not_observed","","","","","","artifacts/journeys/J007_C007_scienze-umanistiche-per-la-comunicazione/source/SD0015.html","","https://www.unifi.it/it/node/6520","confirmed","","","","","","","","gaia","2026-05-07T13:54:52+02:00"
"C007","UNI04","SD0015","location","Campus / city / location","essential","confidence=not_observed | course_outlier(missing>=3)","not_observed","not_observed","not_found","not_observed","","","","","","artifacts/journeys/J007_C007_scienze-umanistiche-per-la-comunicazione/source/SD0015.html","","https://www.unifi.it/it/node/6520","confirmed","","","","","","","","gaia","2026-05-07T13:54:52+02:00"
"C007","UNI04","SD0015","study_plan","Study plan / piano di studi / curriculum / teachings","essential","course_outlier(missing>=3)","present","heading_or_summary","direct","high","Manifesto degli studi","https://www.unifi.it/it/node/6520",".manifesto-degli-studi","html","","artifacts/journeys/J007_C007_scienze-umanistiche-per-la-comunicazione/source/SD0015.html","","https://www.unifi.it/it/node/6520","confirmed","","","","","","","","gaia","2026-05-07T13:30:25+02:00"
"C007","UNI04","SD0015","admission_requirements","Access requirements / admission requirements","essential","confidence=not_observed | course_outlier(missing>=3)","not_observed","not_observed","not_found","not_observed","","","","","","artifacts/journeys/J007_C007_scienze-umanistiche-per-la-comunicazione/source/SD0015.html","","https://www.unifi.it/it/node/6520","confirmed","","","","","","","","gaia","2026-05-07T13:54:52+02:00"
"C007","UNI04","SD0015","admission_procedure","Admission or enrolment procedure","essential","course_outlier(missing>=3)","present","heading_or_summary","direct","high","Selezione e accesso ai corsi","https://www.unifi.it/it/node/6520",".selezione","html","","artifacts/journeys/J007_C007_scienze-umanistiche-per-la-comunicazione/source/SD0015.html","","https://www.unifi.it/it/node/6520","confirmed","","","","","","","","gaia","2026-05-07T13:30:25+02:00"
"C007","UNI04","SD0015","deadlines","Application / enrolment deadlines","essential","course_outlier(missing>=3)","present","heading_or_summary","direct","high","Calendario e scadenze","https://www.unifi.it/it/node/6520",".scadenze","html","","artifacts/journeys/J007_C007_scienze-umanistiche-per-la-comunicazione/source/SD0015.html","","https://www.unifi.it/it/node/6520","confirmed","","","","","","","","gaia","2026-05-07T13:30:25+02:00"
